,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
62,3447597,Sidrolândia,0,BR,1644555012.1333346,79,-20.9319,-54.9614,75.99,75.99,5.59
63,1524243,Georgiyevka,89,KZ,1644555012.407396,74,43.0369,74.7114,26.64,26.64,4.47
64,3471451,Arraial do Cabo,100,BR,1644555012.7044632,92,-22.9661,-42.0278,72.1,72.1,3.91
65,1734052,Sandakan,40,MY,1644555012.9845262,79,5.8402,118.1179,83.88,83.62,13.0
66,1513087,Nurota,100,UZ,1644555013.2535865,34,40.5614,65.6886,44.69,44.69,4.76
67,6201424,Mataura,24,NZ,1644555013.5346491,59,-46.1927,168.8643,61.48,61.48,8.03
68,2171099,Codrington,97,AU,1644555013.8057106,52,-38.2667,141.9667,65.26,65.26,17.05
69,1686123,Siocon,100,PH,1644555014.0747712,75,7.7061,122.1353,84.31,84.31,8.95
70,2038198,Chaihe,100,CN,1644555014.3808396,87,44.7667,129.7,20.16,20.16,1.23
71,1633419,Padang,100,ID,1644555014.6489005,58,-0.9492,100.3543,86.05,86.05,2.51
72,2121385,Severo-Kuril'sk,90,RU,1644555014.9509685,75,50.6789,156.125,28.53,28.53,3.74
73,364933,Umm Kaddadah,7,SD,1644555015.220029,28,13.6017,26.6876,53.87,53.87,18.99
74,679902,Curteşti,70,RO,1644555015.553104,74,47.7167,26.65,42.31,35.28,3.24
75,3492908,Santo Domingo,13,DO,1644555015.674131,90,18.5001,-69.9886,73.08,73.08,4.03
76,3369157,Cape Town,0,ZA,1644555015.964197,82,-33.9258,18.4232,64.11,62.11,6.91
77,580969,Arkhipo-Osipovka,100,RU,1644555016.238258,90,44.37,38.52,41.31,41.31,12.26
78,64435,Berbera,1,SO,1644555016.503318,60,10.4396,45.0143,74.07,74.07,5.37
79,3443061,Chui,0,UY,1644555016.775379,85,-33.6971,-53.4616,68.97,68.97,9.75
80,5848280,Kapaa,75,US,1644555017.0454397,77,22.0752,-159.319,78.78,69.19,4.61
81,3418910,Upernavik,63,GL,1644555017.315501,98,72.7868,-56.1549,-19.73,-19.73,5.99
82,2137773,Vao,100,NC,1644555017.5865624,85,-22.6667,167.4833,81.7,81.7,32.88
83,1106643,Quatre Cocos,7,MU,1644555017.8656247,72,-20.2078,57.7625,83.08,80.71,5.97
84,5983607,Inuvik,75,CA,1644555018.196699,76,68.3499,-133.7218,-15.74,-23.04,3.44
85,3430863,Mar del Plata,100,AR,1644555018.2587132,86,-38.0023,-57.5575,70.88,69.82,9.22
86,4362001,Mayo,75,US,1644555018.5247734,68,38.8876,-76.5119,44.76,33.78,4.61
87,3359736,Vredendal,0,ZA,1644555018.8958573,72,-31.6683,18.5012,63.07,63.07,1.07
88,1529484,Kumul,100,CN,1644555019.165918,58,42.8,93.45,29.37,29.37,5.5
89,3466165,Cidreira,12,BR,1644555019.453983,82,-30.1811,-50.2056,73.94,73.94,19.37
90,2013279,Vostok,100,RU,1644555019.7230437,82,46.4856,135.8833,22.01,22.01,2.55
91,1804979,Juegang,96,CN,1644555019.993104,63,32.3174,121.1855,45.63,45.63,11.36
92,2439155,Tanout,0,NE,1644555020.2571635,17,14.9709,8.8879,55.99,55.99,12.55
93,2181625,Te Anau,22,NZ,1644555020.5302246,57,-45.4167,167.7167,70.0,70.0,6.24
